Unix Timestamp,Value
1733841581.6589231,0.0
1733841581.8637223,0.2
1733841582.0696332,0.39
1733841582.273428,0.58
1733841582.4759254,0.75
1733841582.6794481,0.9
1733841582.8824673,1.03
1733841583.0836167,1.14
1733841583.28651,1.22
1733841583.4914052,1.27
1733841583.6928453,1.3
1733841583.894086,1.3
1733841584.0950327,1.27
1733841584.3020718,1.22
1733841584.5043316,1.15
1733841584.7051928,1.07
1733841584.9065018,0.97
1733841585.107515,0.86
1733841585.3089488,0.75
1733841585.5101247,0.64
1733841585.7134724,0.53
1733841585.9147847,0.43
1733841586.1230946,0.33
1733841586.324742,0.25
1733841586.5259104,0.18
1733841586.7269084,0.12
1733841586.9358847,0.07
1733841587.1369286,0.04
1733841587.3380225,0.02
1733841587.5392318,0.01
1733841587.7403917,0.0
1733841587.942948,0.0
1733841588.1444402,-0.0
1733841588.3460648,-0.0
1733841588.5485375,-0.01
1733841588.7495046,-0.02
1733841588.9510581,-0.05
1733841589.1521165,-0.08
1733841589.3536263,-0.13
1733841589.5551808,-0.19
1733841589.757379,-0.26
1733841589.9586244,-0.35
1733841590.1597712,-0.44
1733841590.3607533,-0.55
1733841590.56887,-0.66
1733841590.769763,-0.77
1733841590.9708538,-0.88
1733841591.1738138,-0.99
1733841591.3830802,-1.08
1733841591.587505,-1.17
1733841591.7886047,-1.23
1733841591.9900475,-1.28
1733841592.191244,-1.3
1733841592.3926082,-1.29
1733841592.6483388,-1.26
1733841592.8639288,-1.21
1733841593.0667517,-1.12
1733841593.317868,-1.01
1733841593.5519896,-0.88
1733841593.8022335,-0.72
1733841594.0716324,-0.55
1733841594.27819,-0.36
1733841594.4797788,-0.17
1733841594.711938,0.03
1733841594.9785275,0.23
1733841595.1806848,0.43
1733841595.3867235,0.61
1733841595.6121268,0.78
1733841595.815382,0.92
1733841596.0171208,1.05
1733841596.2220993,1.15
1733841596.4233384,1.23
1733841596.6248972,1.28
1733841596.8262455,1.3
1733841597.027835,1.29
1733841597.228978,1.26
1733841597.4368968,1.21
1733841597.638127,1.14
1733841597.8399944,1.05
1733841598.0417938,0.95
1733841598.2435632,0.85
1733841598.4452963,0.73
1733841598.647721,0.62
1733841598.849572,0.51
1733841599.0506814,0.41
1733841599.2520394,0.32
1733841599.4539251,0.24
1733841599.6650722,0.17
