Unix Timestamp,Position,Value [kg]
1736436822.5866368,Left,-0.00091
1736436822.5866368,Right,711.0
1736436822.6939032,Left,0.0002
1736436822.6939032,Right,-0.00098
1736436822.7983122,Left,0.00352
1736436822.7998202,Right,0.00347
1736436822.9030955,Left,0.00033
1736436822.9030955,Right,0.00387
1736436823.0079947,Left,0.00059
1736436823.0079947,Right,0.00066
1736436823.1140852,Left,-0.00059
1736436823.1140852,Right,-0.00111
1736436823.2182565,Left,-0.00117
1736436823.2202828,Right,0.00157
1736436823.3229127,Left,0.00189
1736436823.3229127,Right,-0.00013
1736436823.4544911,Left,-0.00013
1736436823.4544911,Right,0.00079
1736436823.5585475,Left,-0.0013
1736436823.5595548,Right,0.00275
1736436823.565763,Left,-0.00195
1736436823.565763,Right,0.00328
1736436823.6698458,Left,-0.00254
1736436823.6698458,Right,0.0019
1736436823.7757885,Left,-0.00228
1736436823.7757885,Right,0.00151
1736436823.88265,Left,-0.00202
1736436823.88265,Right,-0.00013
1736436823.9870965,Left,-0.00117
1736436823.9891064,Right,0.00295
1736436824.0920553,Left,-0.00098
1736436824.0920553,Right,0.0017
1736436824.1969373,Left,0.00013
1736436824.1969373,Right,-0.00026
1736436824.3026834,Left,0.00065
1736436824.3026834,Right,-7e-05
1736436824.4069777,Left,-0.00072
1736436824.408984,Right,-0.00066
1736436824.51249,Left,-0.00085
1736436824.5163362,Right,0.00066
1736436824.6176372,Left,0.00247
1736436824.6176372,Right,0.00518
1736436824.7221522,Left,0.00085
1736436824.7221522,Right,0.00426
1736436824.8269422,Left,-7e-05
1736436824.8289492,Right,0.00354
1736436824.933307,Left,-0.00267
1736436824.9358163,Right,0.00295
1736436825.0388944,Left,-0.0028
1736436825.0388944,Right,0.00183
1736436825.1434348,Left,-0.0015
1736436825.1434348,Right,0.00216
1736436825.2484345,Left,0.00026
1736436825.2532609,Right,0.00124
1736436825.3553052,Left,0.00078
1736436825.3573134,Right,0.00236
1736436825.4599802,Left,-0.00033
1736436825.4599802,Right,-0.00059
1736436825.5651867,Left,-0.00241
1736436825.5651867,Right,-0.00177
1736436825.6714003,Left,0.00163
1736436825.6714003,Right,-0.00347
1736436825.775609,Left,0.00156
1736436825.779451,Right,-0.00308
1736436825.8815248,Left,-0.00228
1736436825.8815248,Right,-0.00301
1736436825.9863818,Left,-0.00228
1736436825.9863818,Right,0.00124
1736436826.0913994,Left,-0.0013
1736436826.0913994,Right,0.00124
1736436826.1965146,Left,0.00182
1736436826.1987748,Right,0.00144
1736436826.301581,Left,0.01582
1736436826.301581,Right,-0.00066
1736436826.406329,Left,0.00853
