Unix Timestamp,Position,Value [kg]
1736439696.8443966,Left,0.00052
1736439696.8443966,Right,711.0
1736439696.8443966,Left,0.00299
1736439696.8443966,Right,0.00085
1736439696.952622,Left,0.00202
1736439696.952622,Right,0.00052
1736439697.0581326,Left,-0.00046
1736439697.0581326,Right,-0.00046
1736439697.1644375,Left,-0.00098
1736439697.1644375,Right,-0.00059
1736439697.2684956,Left,-0.0013
1736439697.2710032,Right,0.00419
1736439697.3736596,Left,0.00137
1736439697.3761718,Right,0.00269
1736439697.4781394,Left,7e-05
1736439697.4806495,Right,0.00085
1736439697.5857222,Left,0.00111
1736439697.5857222,Right,0.00079
1736439697.6891062,Left,-0.00091
1736439697.692132,Right,0.00013
1736439697.8016694,Left,0.00013
1736439697.8016694,Right,-0.00138
1736439697.906965,Left,0.00091
1736439697.906965,Right,-0.00046
1736439698.0116155,Left,0.00124
1736439698.0116155,Right,0.00164
1736439698.117175,Left,0.00078
1736439698.117175,Right,-0.00419
1736439698.2208421,Left,0.00098
1736439698.223356,Right,-0.00105
1736439698.223356,Left,0.00091
1736439698.223356,Right,0.00216
1736439698.3334765,Left,-0.00091
1736439698.3334765,Right,0.00157
1736439698.438515,Left,0.00091
1736439698.438515,Right,-0.00059
1736439698.5438263,Left,0.00111
1736439698.5438263,Right,0.00183
1736439698.6486728,Left,-0.00098
1736439698.6506822,Right,-0.00013
1736439698.7540255,Left,-0.00143
1736439698.7575376,Right,0.00144
1736439698.8592625,Left,-0.00098
1736439698.8592625,Right,-0.00033
1736439698.9638689,Left,0.0013
1736439698.9638689,Right,0.00157
1736439699.0686255,Left,0.00156
1736439699.0686255,Right,-0.00072
1736439699.1727476,Left,0.00143
1736439699.1752574,Right,-0.00026
1736439699.2767951,Left,0.00267
1736439699.2767951,Right,0.00177
1736439699.380447,Left,-0.00085
1736439699.380447,Right,0.00288
1736439699.4867082,Left,0.00111
1736439699.4867082,Right,0.00216
1736439699.5902166,Left,0.0015
1736439699.593244,Right,-0.00066
1736439699.6948493,Left,0.00072
1736439699.6948493,Right,0.00131
1736439699.7994425,Left,0.00176
1736439699.7994425,Right,0.00229
1736439699.9059808,Left,0.0
