Unix Timestamp,Left Value,Right Value
1733844547.872938,5.9e-06,
1733844547.974891,-1.2999999999999998e-06,
1733844547.9759054,,4.85e-05
1733844548.0769,-1.05e-05,
1733844548.0779147,,4.2e-05
1733844548.1796563,-3.9e-06,
1733844548.1816778,,1.2999999999999998e-06
1733844548.2827253,-1.9e-05,
1733844548.2837412,,1.84e-05
1733844548.3856068,-1.38e-05,
1733844548.3876333,,4.2e-05
1733844548.489624,1.12e-05,
1733844548.490633,,4e-05
1733844548.5925486,1.77e-05,
1733844548.594565,,1.9e-05
1733844548.6959748,1.64e-05,
1733844548.6979916,,6.819999999999999e-05
1733844548.799731,2e-06,
1733844548.8002803,,8.59e-05
1733844548.9015665,2.5999999999999997e-06,
1733844548.903599,,4.9199999999999997e-05
1733844549.0050862,5.199999999999999e-06,
1733844549.0050862,,4.3299999999999995e-05
1733844549.1069865,2.3e-05,
1733844549.1079965,,5.05e-05
1733844549.2092574,2.16e-05,
1733844549.2112763,,4.79e-05
1733844549.313756,1.05e-05,
1733844549.3147683,,2.3e-05
1733844549.41634,7.9e-06,
1733844549.418355,,3.0799999999999996e-05
1733844549.51969,3.3e-06,
1733844549.5219274,,5.64e-05
1733844549.6229692,3.9e-06,
1733844549.6242034,,4.2e-05
1733844549.7261646,2.4299999999999998e-05,
1733844549.7281783,,3.21e-05
1733844549.829817,1.38e-05,
1733844549.830827,,5.64e-05
1733844549.932278,1.12e-05,
1733844549.9333067,,7.02e-05
1733844550.036185,7.2000000000000005e-06,
1733844550.038239,,7.54e-05
1733844550.1392703,6.6e-06,
1733844550.1413105,,8.070000000000001e-05
1733844550.244129,2.62e-05,
1733844550.246173,,8.13e-05
1733844550.348284,2.95e-05,
1733844550.3503017,,9.71e-05
1733844550.4518316,1.31e-05,
1733844550.453061,,6.819999999999999e-05
1733844550.455935,1.05e-05,
1733844550.4589512,,7.02e-05
1733844550.5599356,5.199999999999999e-06,
1733844550.561954,,9.25e-05
1733844550.6640768,3.3e-06,
1733844550.6646125,,9.12e-05
1733844550.7661228,,6.95e-05
1733844550.868704,-2.3e-05,
1733844550.8708901,,9.12e-05
1733844550.9727046,-9.8e-06,
1733844550.9747353,,0.0001043
1733844551.0760112,7.2000000000000005e-06,
1733844551.078031,,0.00011679999999999999
1733844551.1798623,1.9e-05,
1733844551.1810377,,0.0001128
1733844551.2830534,2.36e-05,
1733844551.2840626,,0.0001227
1733844551.3848016,1.77e-05,
1733844551.3866794,,0.0001082
1733844551.4888022,1.97e-05,
1733844551.4908187,,0.0001384
1733844551.5921252,1.77e-05,
1733844551.5941534,,0.0001096
1733844551.6962035,0.0,
1733844551.6972847,,9.910000000000001e-05
1733844551.7990983,-2.1e-05,
1733844551.8001065,,9.71e-05
1733844551.9017568,9.2e-06,
1733844551.9039123,,9.58e-05
1733844552.005445,1.77e-05,
1733844552.0064654,,0.0001181
1733844552.1073802,2.2300000000000003e-05,
1733844552.1094,,0.00010229999999999999
1733844552.2125573,1.97e-05,
1733844552.214459,,0.0001056
1733844552.3158357,1.84e-05,
1733844552.3178883,,0.0001115
1733844552.420115,2.3e-05,
1733844552.4211264,,8.53e-05
1733844552.522115,1.64e-05,
1733844552.524139,,0.000105
