Unix Timestamp,Position,Value [kg]
1736440784.127916,Left,-0.00189
1736440784.1419547,Right,711.0
1736440784.2465358,Left,-0.00391
1736440784.2465358,Right,-0.00616
1736440784.3495247,Left,-0.00163
1736440784.3495247,Right,-0.00229
1736440784.4536119,Left,-0.00065
1736440784.4536119,Right,-0.00144
1736440784.5572767,Left,-0.00195
1736440784.5572767,Right,-0.00314
1736440784.6595798,Left,-0.00391
1736440784.6595798,Right,-0.00269
1736440784.762798,Left,-0.00059
1736440784.762798,Right,-0.00177
1736440784.8665898,Left,-0.00013
1736440784.8665898,Right,-0.0019
1736440784.9681559,Left,-0.00046
1736440784.9681559,Right,-0.00203
1736440785.0705307,Left,-0.00352
1736440785.073774,Right,-0.0017
1736440785.17509,Left,-0.00352
1736440785.17509,Right,-0.00387
1736440785.278335,Left,-0.00247
1736440785.278335,Right,-0.00419
1736440785.381671,Left,-0.00338
1736440785.381671,Right,-0.00328
1736440785.4840646,Left,-0.00176
1736440785.4840646,Right,-0.00052
1736440785.5872846,Left,-0.00026
1736440785.5872846,Right,-0.00426
1736440785.6898227,Left,-0.00098
1736440785.6898227,Right,-0.00596
1736440785.7926812,Left,-0.00169
1736440785.7926812,Right,-0.00642
1736440785.895346,Left,0.00039
1736440785.8970282,Right,-0.01028
1736440785.9983132,Left,-7e-05
1736440785.9983132,Right,-0.00649
1736440786.1017318,Left,-0.00026
1736440786.1017318,Right,-0.0036
1736440786.1017318,Left,-0.00436
1736440786.1097534,Right,-0.00432
1736440786.2120576,Left,-0.00456
1736440786.2120576,Right,-0.00478
1736440786.315552,Left,-0.00267
1736440786.315552,Right,-0.00439
1736440786.4196634,Left,-0.00124
1736440786.4196634,Right,-0.00183
1736440786.5216126,Left,-0.00365
1736440786.5216126,Right,-0.00164
1736440786.623416,Left,-0.00365
1736440786.623416,Right,-0.00157
1736440786.726562,Left,-0.00059
1736440786.726562,Right,0.00138
1736440786.8286371,Left,0.00104
1736440786.8286371,Right,-0.00242
1736440786.9313793,Left,-0.00111
1736440786.9313793,Right,-0.00282
1736440787.034632,Left,-0.0015
1736440787.034632,Right,-0.00413
1736440787.1378531,Left,-0.00117
1736440787.1378531,Right,-0.00649
1736440787.2403831,Left,-0.00319
1736440787.2403831,Right,-0.00518
1736440787.343182,Left,7e-05
1736440787.343182,Right,-0.00406
1736440787.4459903,Left,0.00098
1736440787.447009,Right,-0.00426
1736440787.5485156,Left,-0.00345
1736440787.5485156,Right,-0.00799
1736440787.6511083,Left,-0.00267
1736440787.6511083,Right,-0.00445
1736440787.753306,Left,-0.00111
1736440787.753306,Right,-0.00511
1736440787.8561983,Left,-0.00104
1736440787.8561983,Right,-0.01002
1736440787.9588647,Left,-0.00098
1736440787.9588647,Right,-0.01153
1736440788.0611231,Left,-0.00026
1736440788.0611231,Right,-0.00649
1736440788.1631653,Left,-0.0013
1736440788.1631653,Right,-0.00092
1736440788.2662532,Left,-0.00078
1736440788.2662532,Right,-0.00328
1736440788.369107,Left,-0.0015
1736440788.369107,Right,-0.00282
