Unix Timestamp,Position,Value [kg]
1736440668.3827224,Left,0.00208
1736440668.4866562,Left,0.0028
1736440668.4866562,Right,-0.00341
1736440668.5893931,Left,0.0026
1736440668.5893931,Right,-0.00046
1736440668.6915016,Left,0.0002
1736440668.6915016,Right,0.00249
1736440668.793953,Left,-0.00065
1736440668.793953,Right,0.00347
1736440668.896244,Left,0.00059
1736440668.896244,Right,0.00301
1736440668.9985008,Left,0.00163
1736440668.9985008,Right,0.0019
1736440669.101525,Left,0.0
1736440669.101525,Right,0.00524
1736440669.204589,Left,0.00202
1736440669.204589,Right,0.00662
1736440669.307178,Left,0.00195
1736440669.3088624,Right,0.00236
1736440669.4183855,Left,0.0
1736440669.4183855,Right,0.00301
1736440669.520761,Left,-0.00378
1736440669.520761,Right,0.00328
1736440669.6235888,Left,-0.00215
1736440669.6235888,Right,0.0036
1736440669.7274122,Left,0.00091
1736440669.7274122,Right,0.00524
1736440669.830185,Left,-0.00059
1736440669.8313193,Right,0.00111
1736440669.9334662,Left,-0.00111
1736440669.9334662,Right,0.00314
1736440670.0362077,Left,0.00098
1736440670.0362077,Right,0.00262
1736440670.1380205,Left,0.00046
1736440670.1380205,Right,0.00321
1736440670.2404382,Left,-0.00098
1736440670.2404382,Right,0.004
1736440670.3448253,Left,-0.00104
1736440670.3473318,Right,0.00262
1736440670.4491866,Left,-0.00143
1736440670.4491866,Right,0.00072
1736440670.5535357,Left,-0.00065
1736440670.5535357,Right,0.0057
1736440670.6581624,Left,0.00078
1736440670.6581624,Right,0.00373
1736440670.762778,Left,0.00046
1736440670.7647989,Right,0.00301
1736440670.866678,Left,-0.00026
1736440670.8677166,Right,0.00236
1736440670.9695356,Left,-0.00052
1736440670.9695356,Right,0.00079
1736440671.0725493,Left,-7e-05
1736440671.0725493,Right,-0.00052
1736440671.1758127,Left,-0.00033
1736440671.1780267,Right,0.00111
1736440671.2786012,Left,0.00104
1736440671.2786012,Right,0.00275
1736440671.381541,Left,-0.00039
1736440671.3825595,Right,0.00603
1736440671.4844513,Left,0.0002
1736440671.4844513,Right,0.00747
1736440671.5874662,Left,0.00221
1736440671.5874662,Right,0.00406
1736440671.6897519,Left,0.00117
1736440671.6897519,Right,-0.00013
1736440671.792463,Left,0.0
1736440671.792463,Right,0.0002
1736440671.8950791,Left,0.00039
1736440671.8950791,Right,-0.00013
1736440671.997564,Left,7e-05
1736440671.997564,Right,-0.00033
1736440672.1015596,Left,-0.00026
1736440672.101624,Right,0.00105
1736440672.203975,Left,0.00417
1736440672.203975,Right,0.00124
1736440672.3062947,Left,0.00547
1736440672.3062947,Right,0.00367
1736440672.409494,Left,0.00072
1736440672.4110005,Right,0.00275
1736440672.5128937,Left,-7e-05
1736440672.5128937,Right,0.0
1736440672.6159053,Left,-0.00143
1736440672.6159053,Right,0.00138
1736440672.7177994,Left,-0.00085
1736440672.7177994,Right,0.0
1736440672.8203177,Left,0.00059
1736440672.8203177,Right,0.00033
1736440672.9227147,Left,0.00052
1736440672.9247365,Right,0.00059
1736440673.0260704,Left,0.00098
1736440673.0260704,Right,-0.00118
1736440673.128737,Left,0.00104
1736440673.128737,Right,0.00177
1736440673.2312658,Left,-0.0002
1736440673.2312658,Right,0.00485
1736440673.3342361,Left,0.00098
1736440673.3342361,Right,0.00439
1736440673.4368422,Left,0.00436
1736440673.4385302,Right,0.00334
1736440673.540039,Left,0.00352
1736440673.540039,Right,0.00308
1736440673.642561,Left,0.00091
1736440673.642561,Right,0.00347
1736440673.745594,Left,-0.00104
1736440673.745594,Right,0.00046
1736440673.8475654,Left,-0.00124
1736440673.8475654,Right,0.00314
1736440673.9503746,Left,-0.00111
1736440673.952085,Right,0.00701
1736440674.0530493,Left,-0.00039
1736440674.0530493,Right,0.004
1736440674.1567392,Left,-0.00013
1736440674.1567392,Right,0.00354
1736440674.2591965,Left,0.0002
1736440674.2591965,Right,0.00576
1736440674.3618286,Left,0.00234
1736440674.3618286,Right,0.00629
1736440674.464272,Left,0.00267
1736440674.464272,Right,0.00911
1736440674.5670078,Left,-0.00026
1736440674.5670078,Right,0.00465
1736440674.6694946,Left,-0.00221
1736440674.6694946,Right,0.00177
1736440674.7717457,Left,-0.00176
1736440674.7717457,Right,-0.00111
1736440674.874962,Left,0.0013
1736440674.874962,Right,-0.00072
1736440674.977357,Left,0.00065
1736440674.9783757,Right,0.00072
1736440675.0799198,Left,0.00078
1736440675.0799198,Right,0.00026
1736440675.1833832,Left,0.00026
1736440675.1833832,Right,0.0036
1736440675.2858572,Left,-0.00065
1736440675.2858572,Right,0.0021
1736440675.3884823,Left,-0.00065
1736440675.3884823,Right,0.00229
1736440675.4908893,Left,-0.00195
1736440675.4908893,Right,0.00249
1736440675.5939229,Left,7e-05
1736440675.5957508,Right,0.00203
1736440675.6966748,Left,0.00046
1736440675.6966748,Right,0.00472
1736440675.799098,Left,-0.00098
1736440675.8001168,Right,0.0055
1736440675.9016585,Left,0.00098
1736440675.9016585,Right,0.00216
1736440676.0047755,Left,0.0
1736440676.0047755,Right,0.00622
1736440676.1079025,Left,0.00013
