Unix Timestamp,Position,Value [kg]
1736440328.6925557,Left,-0.0013
1736440328.6925557,Right,711.0
1736440328.7957265,Left,-0.00124
1736440328.797806,Right,7e-05
1736440328.898774,Left,0.00078
1736440328.898774,Right,-0.00275
1736440329.0019803,Left,0.00247
1736440329.0019803,Right,-0.00544
1736440329.1046622,Left,0.00052
1736440329.1046622,Right,-0.00249
1736440329.2073548,Left,-0.00104
1736440329.2073548,Right,-0.00282
1736440329.3102636,Left,-0.00215
1736440329.3102636,Right,-0.00314
1736440329.4127998,Left,-0.00091
1736440329.4127998,Right,-0.00229
1736440329.516102,Left,-0.00189
1736440329.516102,Right,-7e-05
1736440329.6188726,Left,-0.00234
1736440329.6216166,Right,-0.00026
1736440329.723023,Left,0.00202
1736440329.723023,Right,0.00124
1736440329.8257897,Left,0.00059
1736440329.8257897,Right,-0.00039
1736440329.9283667,Left,-7e-05
1736440329.929872,Right,-0.00387
1736440330.0321274,Left,-0.00026
1736440330.0321274,Right,-0.00753
1736440330.1345792,Left,-0.00221
1736440330.1345792,Right,-0.00511
1736440330.2378125,Left,-0.00046
1736440330.2378125,Right,-0.00576
1736440330.3403134,Left,0.00215
1736440330.3403134,Right,0.01094
1736440330.4438493,Left,0.00124
1736440330.4438493,Right,0.09053
1736440330.5461113,Left,0.00202
1736440330.5461113,Right,0.06892
1736440330.6484203,Left,0.00111
1736440330.6484203,Right,0.01297
1736440330.7517629,Left,0.00208
1736440330.7537684,Right,0.00039
1736440330.8551724,Left,0.0026
1736440330.8551724,Right,0.00845
1736440330.958608,Left,0.00182
1736440330.958608,Right,0.01048
1736440331.0616934,Left,0.00189
1736440331.0641792,Right,0.00223
1736440331.16475,Left,0.01719
1736440331.16475,Right,0.0659
1736440331.2675092,Left,0.06842
1736440331.2675092,Right,0.12145
1736440331.3707542,Left,0.08827
1736440331.3707542,Right,0.17196
1736440331.4737213,Left,0.09973
1736440331.4737213,Right,0.17701
1736440331.5783665,Left,0.11984
1736440331.5783665,Right,0.204
1736440331.6806078,Left,0.12518
1736440331.682307,Right,0.21186
1736440331.7835586,Left,0.13201
1736440331.7835586,Right,0.21441
1736440331.8861957,Left,0.13501
1736440331.8861957,Right,0.2264
1736440331.9885886,Left,0.13449
1736440331.9885886,Right,0.22404
1736440332.0912263,Left,0.13097
1736440332.0912263,Right,0.2321
1736440332.1957166,Left,0.14204
1736440332.1957166,Right,0.24442
1736440332.2989912,Left,0.16111
1736440332.2989912,Right,0.26787
1736440332.401493,Left,0.17368
1736440332.401493,Right,0.27619
1736440332.5040834,Left,0.15636
1736440332.5050864,Right,0.26702
1736440332.607209,Left,0.14887
1736440332.607209,Right,0.25647
1736440332.709767,Left,0.14022
1736440332.709767,Right,0.2433
1736440332.8127923,Left,0.12961
1736440332.8127923,Right,0.23406
1736440332.9147904,Left,0.13644
1736440332.9147904,Right,0.24664
1736440333.01939,Left,0.13188
1736440333.0273955,Right,0.24979
1736440333.0419412,Left,0.12804
1736440333.043446,Right,0.24409
1736440333.1445723,Left,0.12258
1736440333.1445723,Right,0.20478
1736440333.2471316,Left,0.03912
1736440333.2471316,Right,0.1284
1736440333.349142,Left,0.01282
1736440333.349142,Right,0.09178
1736440333.4524174,Left,0.01042
1736440333.4524174,Right,0.08601
1736440333.554713,Left,0.00944
1736440333.554713,Right,0.0851
1736440333.6570706,Left,0.01022
1736440333.6570706,Right,0.0811
1736440333.7598207,Left,0.01146
1736440333.7598207,Right,0.07874
1736440333.8627334,Left,0.01725
1736440333.8627334,Right,-0.03275
1736440333.9650562,Left,0.02174
1736440333.9650562,Right,-0.50816
1736440334.0682268,Left,0.01777
1736440334.0682268,Right,-1.1755
