Unix Timestamp,Position,Value [kg]
1736440091.5161219,Left,0.00033
1736440091.5181286,Right,711.0
1736440091.619412,Left,0.00169
1736440091.619412,Right,-0.00013
1736440091.7218826,Left,0.00117
1736440091.7218826,Right,0.00072
1736440091.8243654,Left,-0.00065
1736440091.8243654,Right,0.00085
1736440091.9263427,Left,-0.0026
1736440091.9263427,Right,-0.00249
1736440092.0285444,Left,-0.00234
1736440092.0300674,Right,0.00046
1736440092.1307983,Left,-0.00098
1736440092.1307983,Right,-0.00262
1736440092.2328422,Left,-0.00352
1736440092.2328422,Right,-0.0059
1736440092.3374946,Left,0.00098
1736440092.3374946,Right,-0.00066
1736440092.440245,Left,-0.0002
1736440092.440245,Right,-0.00013
1736440092.550998,Left,-0.00456
1736440092.550998,Right,-0.00255
1736440092.6534438,Left,-0.00202
1736440092.6534438,Right,-0.0019
1736440092.757349,Left,0.00169
1736440092.757349,Right,-7e-05
1736440092.8606899,Left,-0.0002
1736440092.8606899,Right,-0.00124
1736440092.963301,Left,0.00039
1736440092.963301,Right,-0.00039
1736440093.0659246,Left,-0.00046
1736440093.0669463,Right,0.00072
1736440093.1683943,Left,-0.00065
1736440093.1683943,Right,-0.00229
1736440093.2723136,Left,-0.00039
1736440093.2723136,Right,-0.0017
1736440093.3743618,Left,7e-05
1736440093.3743618,Right,-0.00164
1736440093.477321,Left,0.00059
1736440093.477321,Right,-0.00216
1736440093.5800192,Left,0.00033
1736440093.5810382,Right,-0.00485
1736440093.683076,Left,0.00052
1736440093.683076,Right,-0.00236
1736440093.7854564,Left,0.0015
1736440093.7854564,Right,0.00387
1736440093.8886876,Left,-7e-05
1736440093.8886876,Right,0.00406
1736440093.9916508,Left,-0.00072
1736440093.9916508,Right,0.00039
1736440094.0945737,Left,-0.0015
1736440094.0945737,Right,-0.00334
1736440094.197023,Left,0.00091
1736440094.197023,Right,-0.00033
1736440094.2994688,Left,0.00182
1736440094.2994688,Right,-0.00046
1736440094.4027286,Left,0.00046
1736440094.4027286,Right,0.00105
1736440094.505029,Left,-0.00078
1736440094.505029,Right,0.00426
1736440094.6074693,Left,-0.0015
1736440094.6074693,Right,0.00334
1736440094.709892,Left,0.0002
1736440094.709892,Right,0.00131
1736440094.8123333,Left,-0.00013
1736440094.8123333,Right,-0.00066
1736440094.9154103,Left,-0.00358
1736440094.9164283,Right,-0.00537
1736440095.018164,Left,-0.00443
1736440095.018164,Right,-0.00085
1736440095.120612,Left,-0.00182
1736440095.120612,Right,0.00118
1736440095.222681,Left,0.00104
1736440095.222681,Right,-0.00157
1736440095.3257594,Left,-0.00137
1736440095.3257594,Right,-0.00295
1736440095.4281096,Left,-0.00247
